Timestamp,Label,V_AB,V_AD,V_BC,V_CD,V_AC,V_BD
2026-04-20 00:14:25,AB_1,7.2,12.69,6.36,8.23,11.3,8.39
2026-04-20 00:14:25,AB_1,7.41,12.64,6.36,8.47,11.75,8.51
2026-04-20 00:14:25,AB_1,7.41,12.8,6.36,8.35,11.55,8.39
2026-04-20 00:14:26,AB_1,7.23,12.8,6.34,8.34,11.52,8.49
2026-04-20 00:14:26,AB_1,7.46,13.1,6.35,8.23,11.17,8.48
2026-04-20 00:14:27,AB_1,7.33,12.62,6.35,8.36,11.36,8.56
2026-04-20 00:14:27,AB_1,7.41,13.0,6.37,8.34,11.52,8.52
2026-04-20 00:14:27,AB_1,7.19,12.74,6.26,8.3,11.27,8.54
2026-04-20 00:14:28,AB_1,7.32,12.8,6.38,8.12,11.36,8.44
2026-04-20 00:14:28,AB_1,7.18,12.74,6.42,8.35,11.44,8.63
2026-04-20 00:14:29,AB_1,7.45,12.8,6.35,8.16,11.21,8.35
2026-04-20 00:14:29,AB_1,7.34,12.7,6.45,8.35,11.46,8.66
2026-04-20 00:14:29,AB_1,7.66,12.77,6.36,8.22,11.36,8.41
2026-04-20 00:14:30,AB_1,7.42,12.9,6.47,8.45,11.52,8.88
2026-04-20 00:14:30,AB_1,7.53,12.53,6.27,8.18,11.76,8.42
2026-04-20 00:14:31,AB_1,7.4,12.8,6.23,8.21,11.51,8.53
2026-04-20 00:14:31,AB_1,7.47,12.8,6.64,8.44,11.74,8.5
2026-04-20 00:14:31,AB_1,7.5,12.8,6.17,8.07,11.51,8.22
2026-04-20 00:14:32,AB_1,7.14,12.76,6.37,8.5,11.6,8.7
2026-04-20 00:14:32,AB_1,7.26,12.47,6.58,8.66,11.66,8.55
2026-04-20 00:14:33,AB_1,7.2,12.9,6.6,8.58,11.81,8.63
2026-04-20 00:14:33,AB_1,7.42,12.53,6.34,8.44,11.88,8.51
2026-04-20 00:14:33,AB_1,7.24,13.1,6.62,8.12,11.57,8.49
2026-04-20 00:14:34,AB_1,7.3,13.0,6.4,8.39,11.79,8.53
2026-04-20 00:14:34,AB_1,7.46,12.9,6.33,8.36,11.8,8.46
