Timestamp,Label,V_AB,V_AD,V_BC,V_CD,V_AC,V_BD
2026-04-20 01:13:34,AB_1,5.84,11.6,6.13,9.3,11.43,6.6
2026-04-20 01:13:35,AB_1,5.84,11.1,6.18,9.32,11.42,6.66
2026-04-20 01:13:35,AB_1,5.85,11.28,6.11,9.34,11.41,6.54
2026-04-20 01:13:35,AB_1,5.83,11.18,6.07,9.34,11.4,6.53
2026-04-20 01:13:36,AB_1,5.83,11.12,6.09,9.25,11.53,6.5
2026-04-20 01:13:36,AB_1,5.92,11.43,6.07,9.32,11.51,6.53
2026-04-20 01:13:37,AB_1,5.54,11.25,6.16,9.3,11.53,6.52
2026-04-20 01:13:37,AB_1,5.78,11.06,6.19,9.27,11.4,6.54
2026-04-20 01:13:37,AB_1,5.84,11.01,6.18,9.24,11.49,6.54
2026-04-20 01:13:38,AB_1,6.02,10.88,6.12,9.25,11.47,6.58
2026-04-20 01:13:47,AB_2,5.79,11.15,6.15,9.23,11.61,6.46
2026-04-20 01:13:47,AB_2,5.77,10.88,6.01,9.44,11.33,6.53
2026-04-20 01:13:47,AB_2,5.79,11.17,6.04,9.25,11.51,6.41
2026-04-20 01:13:48,AB_2,5.75,10.95,5.96,9.33,11.38,6.47
2026-04-20 01:13:48,AB_2,6.24,11.16,6.01,9.31,11.68,6.44
2026-04-20 01:13:48,AB_2,5.77,11.16,6.05,9.29,11.44,6.5
2026-04-20 01:13:49,AB_2,5.79,10.95,6.01,9.3,11.52,6.48
2026-04-20 01:13:49,AB_2,5.79,11.32,6.05,9.34,11.49,6.52
2026-04-20 01:13:50,AB_2,5.77,10.77,6.04,9.31,11.52,6.49
2026-04-20 01:13:50,AB_2,5.99,10.82,5.97,9.26,11.41,6.56
2026-04-20 01:14:15,AB_3,5.8,11.1,5.96,9.22,11.34,6.79
2026-04-20 01:14:15,AB_3,5.83,10.94,6.08,9.16,11.65,6.55
2026-04-20 01:14:15,AB_3,5.75,10.99,6.19,9.33,11.51,6.68
2026-04-20 01:14:16,AB_3,6.0,10.99,6.09,9.25,11.66,6.62
2026-04-20 01:14:16,AB_3,6.0,11.07,6.0,9.24,11.61,6.6
2026-04-20 01:14:17,AB_3,5.79,11.32,6.09,9.24,11.78,6.53
2026-04-20 01:14:17,AB_3,5.81,11.16,6.02,9.22,11.58,6.55
2026-04-20 01:14:17,AB_3,5.8,11.22,6.16,9.32,11.79,6.61
2026-04-20 01:14:18,AB_3,5.88,11.12,6.12,9.28,11.59,6.6
2026-04-20 01:14:18,AB_3,6.23,11.18,6.1,9.25,11.54,6.58
2026-04-20 01:14:34,AB_4,4.31,11.24,6.38,9.13,11.47,6.66
2026-04-20 01:14:35,AB_4,5.93,11.1,6.27,9.19,11.43,6.61
2026-04-20 01:14:35,AB_4,6.02,10.96,6.0,9.12,11.52,6.57
2026-04-20 01:14:36,AB_4,5.84,10.86,6.07,9.19,11.5,6.53
2026-04-20 01:14:36,AB_4,5.9,11.09,6.03,9.17,11.63,6.47
2026-04-20 01:14:36,AB_4,5.87,11.15,6.13,9.16,11.47,6.49
2026-04-20 01:14:37,AB_4,5.93,11.13,6.01,9.2,11.53,6.47
2026-04-20 01:14:37,AB_4,5.93,11.1,6.09,9.31,11.48,6.48
2026-04-20 01:14:38,AB_4,5.92,10.88,6.05,9.14,11.51,6.55
2026-04-20 01:14:38,AB_4,5.89,11.19,5.99,9.25,11.51,6.65
2026-04-20 01:14:48,AD_1,5.83,11.23,5.99,9.04,11.87,6.65
2026-04-20 01:14:48,AD_1,5.8,11.08,6.01,9.01,11.85,6.57
2026-04-20 01:14:49,AD_1,5.68,11.25,5.96,9.05,11.87,6.56
2026-04-20 01:14:49,AD_1,5.74,11.17,6.02,8.98,11.94,6.53
2026-04-20 01:14:50,AD_1,5.75,11.18,6.3,9.02,11.97,6.51
2026-04-20 01:14:50,AD_1,5.8,11.15,6.01,9.0,11.97,6.51
2026-04-20 01:14:50,AD_1,5.76,10.97,6.14,9.05,11.89,6.55
2026-04-20 01:14:51,AD_1,5.84,10.95,6.05,9.01,11.91,6.56
2026-04-20 01:14:51,AD_1,5.88,10.98,6.08,9.02,12.1,6.56
2026-04-20 01:14:52,AD_1,5.77,11.1,6.04,8.98,11.92,6.59
2026-04-20 01:14:59,AD_2,5.77,10.96,6.26,9.2,11.88,7.0
2026-04-20 01:15:00,AD_2,5.75,10.97,6.12,9.11,11.94,6.91
2026-04-20 01:15:00,AD_2,5.92,10.9,6.22,9.24,11.83,6.9
2026-04-20 01:15:01,AD_2,5.8,10.73,6.18,9.09,11.9,6.92
2026-04-20 01:15:01,AD_2,5.85,10.85,6.15,9.17,11.88,6.87
2026-04-20 01:15:01,AD_2,5.74,10.74,6.1,9.18,12.0,6.9
2026-04-20 01:15:02,AD_2,5.83,10.86,6.14,9.11,12.1,6.89
2026-04-20 01:15:02,AD_2,5.8,10.65,6.31,9.12,11.98,6.94
2026-04-20 01:15:03,AD_2,5.96,10.78,6.3,9.16,11.92,6.96
2026-04-20 01:15:03,AD_2,5.89,10.81,6.21,9.09,11.98,6.99
2026-04-20 01:15:09,AD_3,5.91,11.42,6.2,9.1,11.92,6.49
2026-04-20 01:15:10,AD_3,5.81,11.26,6.16,9.15,11.83,6.59
2026-04-20 01:15:10,AD_3,6.02,11.06,6.21,9.08,11.91,6.45
2026-04-20 01:15:10,AD_3,5.93,11.22,6.17,9.11,11.81,6.54
2026-04-20 01:15:11,AD_3,6.09,11.16,6.31,9.06,11.8,6.51
2026-04-20 01:15:11,AD_3,6.05,11.25,6.2,9.02,11.91,6.66
2026-04-20 01:15:12,AD_3,5.9,11.06,6.23,9.04,11.86,6.59
2026-04-20 01:15:12,AD_3,5.86,11.36,6.21,9.05,11.91,6.64
2026-04-20 01:15:12,AD_3,5.8,11.04,6.18,9.07,11.95,6.69
2026-04-20 01:15:13,AD_3,5.97,11.04,6.19,9.04,11.86,6.6
2026-04-20 01:15:15,AD_4,5.92,11.6,6.34,9.05,11.9,6.61
2026-04-20 01:15:16,AD_4,5.87,11.45,6.17,9.16,11.76,6.71
2026-04-20 01:15:16,AD_4,5.88,11.17,6.28,9.05,11.9,6.64
2026-04-20 01:15:17,AD_4,5.87,11.2,6.22,9.16,11.89,6.74
2026-04-20 01:15:17,AD_4,5.93,11.28,6.18,9.05,11.87,6.69
2026-04-20 01:15:17,AD_4,5.82,11.33,6.2,9.1,11.79,6.85
2026-04-20 01:15:18,AD_4,5.86,10.86,6.2,9.07,12.03,6.78
2026-04-20 01:15:18,AD_4,6.01,10.99,6.25,9.08,11.87,6.83
2026-04-20 01:15:19,AD_4,6.04,10.9,6.23,9.05,11.92,6.8
2026-04-20 01:15:19,AD_4,5.89,10.95,6.25,9.06,11.88,6.86
2026-04-20 01:15:28,BC_1,5.25,11.99,6.25,9.18,11.94,6.42
2026-04-20 01:15:28,BC_1,5.8,11.7,6.24,9.13,11.95,6.42
2026-04-20 01:15:29,BC_1,5.86,11.53,6.35,9.09,11.99,6.37
2026-04-20 01:15:29,BC_1,5.75,11.73,6.36,9.31,11.94,6.37
2026-04-20 01:15:30,BC_1,5.84,11.54,6.34,9.03,12.01,6.37
2026-04-20 01:15:30,BC_1,5.8,11.58,6.38,9.1,11.95,6.4
2026-04-20 01:15:30,BC_1,5.85,11.36,6.36,9.12,12.0,6.38
2026-04-20 01:15:31,BC_1,5.76,11.43,6.24,9.07,11.99,6.4
2026-04-20 01:15:31,BC_1,5.85,11.24,6.26,9.23,11.8,6.41
2026-04-20 01:15:32,BC_1,5.73,11.42,6.28,9.06,12.09,6.47
2026-04-20 01:15:35,BC_2,5.73,11.76,6.25,9.37,11.84,6.65
2026-04-20 01:15:35,BC_2,5.84,11.37,6.1,9.22,12.03,6.43
2026-04-20 01:15:36,BC_2,5.93,11.48,6.26,9.21,12.03,6.59
2026-04-20 01:15:36,BC_2,5.75,11.73,6.24,9.18,12.04,6.46
2026-04-20 01:15:36,BC_2,5.75,11.69,6.25,9.18,11.95,6.61
2026-04-20 01:15:37,BC_2,5.85,11.34,6.4,9.26,12.02,6.55
2026-04-20 01:15:37,BC_2,5.9,11.57,6.36,9.22,12.03,6.64
2026-04-20 01:15:38,BC_2,5.82,11.53,6.28,9.17,11.93,6.59
2026-04-20 01:15:38,BC_2,5.88,11.55,6.24,9.13,12.08,6.66
2026-04-20 01:15:38,BC_2,5.96,11.39,6.23,9.16,12.02,6.6
2026-04-20 01:15:45,BC_3,5.91,11.84,6.15,9.16,11.84,6.56
2026-04-20 01:15:46,BC_3,5.94,11.47,6.42,9.03,11.92,6.53
2026-04-20 01:15:46,BC_3,5.98,11.48,6.29,9.06,11.85,6.57
2026-04-20 01:15:46,BC_3,5.94,11.71,6.17,9.09,11.92,6.56
